index,model,estimate,archivedt
2020-06-30,m.rt,1.19135669595219,2022-11-01
2020-07-01,can,1.17,2022-11-01
2020-07-01,linlab,1.12324819004439,2022-11-01
2020-07-01,ucsf,1.1871718487373,2022-11-01
2020-07-01,m.rt,1.18,2022-11-01
2020-07-02,can,1.16,2022-11-01
2020-07-02,linlab,1.10254327154747,2022-11-01
2020-07-02,ucsf,1.17979990074609,2022-11-01
2020-07-02,m.rt,1.17,2022-11-01
2020-07-03,can,1.15,2022-11-01
2020-07-03,linlab,1.13846706563078,2022-11-01
2020-07-03,ucsf,1.17220075501634,2022-11-01
2020-07-03,m.rt,1.16,2022-11-01
2020-07-04,can,1.14,2022-11-01
2020-07-04,linlab,1.16548677471392,2022-11-01
2020-07-04,ucsf,1.16467000992834,2022-11-01
2020-07-04,m.rt,1.1582233366427799,2022-11-01
2020-07-05,can,1.13,2022-11-01
2020-07-05,linlab,1.06412214052557,2022-11-01
2020-07-05,ucsf,1.15738708892301,2022-11-01
2020-07-05,m.rt,1.1482233366427799,2022-11-01
2020-07-06,can,1.12,2022-11-01
2020-07-06,linlab,1.07582397861781,2022-11-01
2020-07-06,ucsf,1.15042481670532,2022-11-01
2020-07-06,m.rt,1.13822333664278,2022-11-01
2020-07-07,can,1.11,2022-11-01
2020-07-07,linlab,1.0630717647734,2022-11-01
2020-07-07,ucsf,1.14378129745918,2022-11-01
2020-07-07,m.rt,1.12,2022-11-01
2020-07-08,can,1.11,2022-11-01
2020-07-08,linlab,1.06281316772198,2022-11-01
2020-07-08,ucsf,1.13740335131035,2022-11-01
2020-07-08,m.rt,1.1133333333333335,2022-11-01
2020-07-09,can,1.1,2022-11-01
2020-07-09,linlab,1.08305989608299,2022-11-01
2020-07-09,ucsf,1.13118882892452,2022-11-01
2020-07-09,m.rt,1.1066666666666667,2022-11-01
2020-07-10,can,1.09,2022-11-01
2020-07-10,linlab,1.07684126201821,2022-11-01
2020-07-10,ucsf,1.12498969248397,2022-11-01
2020-07-10,m.rt,1.1,2022-11-01
2020-07-11,can,1.08,2022-11-01
2020-07-11,linlab,1.06581167091947,2022-11-01
2020-07-11,ucsf,1.11863600507291,2022-11-01
2020-07-11,m.rt,1.09,2022-11-01
2020-07-12,can,1.08,2022-11-01
2020-07-12,linlab,1.03804296616508,2022-11-01
2020-07-12,ucsf,1.11196939880556,2022-11-01
2020-07-12,m.rt,1.0833333333333333,2022-11-01
2020-07-13,can,1.07,2022-11-01
2020-07-13,linlab,1.05643241125799,2022-11-01
2020-07-13,ucsf,1.10487044369058,2022-11-01
2020-07-13,m.rt,1.0766666666666669,2022-11-01
2020-07-14,can,1.06,2022-11-01
2020-07-14,linlab,1.06417700687621,2022-11-01
2020-07-14,ucsf,1.09726585129829,2022-11-01
2020-07-14,m.rt,1.0713923356254034,2022-11-01
2020-07-15,can,1.06,2022-11-01
2020-07-15,linlab,1.10081075819506,2022-11-01
2020-07-15,ucsf,1.08911334932979,2022-11-01
2020-07-15,m.rt,1.0744301187353333,2022-11-01
2020-07-16,can,1.05,2022-11-01
2020-07-16,linlab,1.06232515239727,2022-11-01
2020-07-16,ucsf,1.08037724400024,2022-11-01
2020-07-16,m.rt,1.0718718362010902,2022-11-01
2020-07-17,can,1.04,2022-11-01
2020-07-17,linlab,1.0658266283728,2022-11-01
2020-07-17,ucsf,1.07101486035086,2022-11-01
2020-07-17,m.rt,1.0724217100332867,2022-11-01
2020-07-18,can,1.03,2022-11-01
2020-07-18,linlab,1.04542524742589,2022-11-01
2020-07-18,ucsf,1.06098830742839,2022-11-01
2020-07-18,m.rt,1.0578590093986533,2022-11-01
2020-07-19,can,1.02,2022-11-01
2020-07-19,linlab,1.03496561365156,2022-11-01
2020-07-19,ucsf,1.05030557411341,2022-11-01
2020-07-19,m.rt,1.0487391631500833,2022-11-01
2020-07-20,can,1.01,2022-11-01
2020-07-20,linlab,0.978398336891823,2022-11-01
2020-07-20,ucsf,1.03907280482289,2022-11-01
2020-07-20,m.rt,1.0301302870258167,2022-11-01
2020-07-21,can,1,2022-11-01
2020-07-21,linlab,0.949346586144961,2022-11-01
